result,table,_start,_stop,_time,_value,_field,_measurement,sensor
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:04:04.152736+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:05:19.158618+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:06:34.212941+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:07:49.248277+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:09:04.316935+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:10:19.349168+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:11:34.429840+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:12:49.495441+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:14:04.538619+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:15:19.529502+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:16:34.600670+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:17:49.629114+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:19:04.687582+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:20:19.761514+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:21:34.921300+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:22:49.901904+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:24:15.823919+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:28:03.287643+00:00,2.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:29:18.368876+00:00,25.0,value,metricas,buffer
_result,0,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:30:33.438080+00:00,25.0,value,metricas,buffer
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.722522+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:37.006693+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:37.024479+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:37.040713+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:51.786623+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:48:37.511644+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:51:09.245568+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:52:25.528241+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:55:49.150085+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:56:57.686777+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:01:10.343394+00:00,0.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:01:10.354541+00:00,0.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:14:25.949220+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:16:12.531586+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:19:52.104842+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:23:48.820880+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:42:17.910969+00:00,0.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:42:17.922297+00:00,0.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 15:55:20.762546+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:23:56.317740+00:00,0.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:23:56.399062+00:00,0.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:24:17.830919+00:00,1.0,value,metricas,codigo
_result,1,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 16:28:05.423831+00:00,1.0,value,metricas,codigo
_result,2,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:31.998786+00:00,3.0,value,metricas,distribucion_pos
_result,2,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.648215+00:00,3.0,value,metricas,distribucion_pos
_result,2,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.654744+00:00,3.0,value,metricas,distribucion_pos
_result,2,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.668239+00:00,3.0,value,metricas,distribucion_pos
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:02:32.023844+00:00,33.0,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.661374+00:00,33.0,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.668206+00:00,33.0,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 13:11:36.681944+00:00,33.0,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:47.519660+00:00,10.745573043823242,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:49.031080+00:00,11.056327819824219,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:49.539774+00:00,12.15214729309082,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:51.556103+00:00,13.190722465515137,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:52.560296+00:00,14.932584762573242,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:55.610283+00:00,15.979337692260742,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:58.118194+00:00,15.99569320678711,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:58.622768+00:00,16.65809154510498,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:23:59.135102+00:00,16.964757442474365,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:01.135027+00:00,17.93382167816162,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:02.646265+00:00,18.265020847320557,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:04.242686+00:00,18.52670907974243,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:04.669013+00:00,19.201374053955078,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:05.732463+00:00,20.16226053237915,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:07.242995+00:00,20.46074867248535,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:08.204074+00:00,20.468926429748535,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:09.756862+00:00,20.80012559890747,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:24:10.292987+00:00,21.446168422698975,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:27:05.911436+00:00,22.100389003753662,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:27:06.964713+00:00,23.069453239440918,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:27:08.363797+00:00,23.339319229125977,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:27:08.869450+00:00,23.633718490600586,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:27:10.387995+00:00,23.87087345123291,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:27:10.889260+00:00,25.068914890289307,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:54.302747+00:00,26.266956329345703,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:54.814091+00:00,26.545000076293945,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:55.314609+00:00,27.71850824356079,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:56.829752+00:00,27.99246311187744,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:57.334177+00:00,30.000102519989014,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:46:59.352689+00:00,30.527567863464355,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:47:03.394040+00:00,30.805611610412598,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:47:03.898844+00:00,31.030499935150146,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:47:04.403156+00:00,31.29218816757202,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:47:04.912595+00:00,31.570231914520264,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:47:05.923025+00:00,32.86640644073486,value,metricas,distribucion_pos_cm
_result,3,1970-01-01 00:00:00+00:00,2023-08-31 23:16:03.116458+00:00,2023-09-14 14:47:07.477581+00:00,33.65147113800049,value,metricas,distribucion_pos_cm
